imagepath,imagepath_neg,caption,caption_neg
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000000@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000000@0.png,[cyst] Breast ultrasound image demonstrating background echotexture and breast tissue composition.,[no suspicious sonographic finding] Breast ultrasound image demonstrating background echotexture and breast tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000001@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000001@0.png,[cyst] Breast ultrasound image showing the background echotexture of the visualized breast parenchyma.,[no focal breast lesion] Breast ultrasound image showing the background echotexture of the visualized breast parenchyma.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000003@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000003@0.png,[cyst] Breast ultrasound image demonstrating tissue composition within the visualized breast tissue.,[normal-appearing breast parenchyma] Breast ultrasound image demonstrating tissue composition within the visualized breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000004@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000004@0.png,[cyst] Breast ultrasound image showing breast tissue background within the sonographic field of view.,[preserved background tissue appearance] Breast ultrasound image showing breast tissue background within the sonographic field of view.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000005@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000005@0.png,[cyst] Breast ultrasound image demonstrating the sonographic tissue pattern of the breast.,[normal breast ultrasound appearance] Breast ultrasound image demonstrating the sonographic tissue pattern of the breast.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000006@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000006@0.png,[fibroadenoma] Breast ultrasound image showing background breast parenchyma and tissue composition.,[no suspicious breast lesion] Breast ultrasound image showing background breast parenchyma and tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000007@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000007@0.png,[fibroadenoma] Breast ultrasound image demonstrating the background echogenic pattern of breast tissue.,[normal-appearing] Breast ultrasound image demonstrating the background echogenic pattern of breast tissue.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000008@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000008@0.png,[cyst] Breast ultrasound image showing the visualized breast tissue composition.,[normal-appearing parenchymal tissue] Breast ultrasound image showing the visualized breast tissue composition.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000009@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000009@0.png,[cyst] Breast ultrasound image demonstrating background parenchymal echotexture.,[no suspicious focal finding] Breast ultrasound image demonstrating background parenchymal echotexture.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images/000011@0.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/BUS-CoT/BUS_CoT_preprocessed/images_neg/000011@0.png,[cyst] Breast ultrasound image showing breast tissue characteristics within the imaging field.,[normal-appearing visualized breast tissue] Breast ultrasound image showing breast tissue characteristics within the imaging field.
