filename,filename_neg,Caption,Caption_neg
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000084.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000084.png,"A breast imaging study showing a homogenous, well-circumscribed mass indicative of a benign tumor.",A medical mammogram displaying well-organized breast tissue with no evidence of abnormalities.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000127.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000127.png,"A breast imaging scan showing a well-circumscribed, smooth mass indicative of a benign breast tumor.","A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000128.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000128.png,A mammogram displaying a smoothly contoured mass suggestive of a benign breast tumor.,"A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000065.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000065.png,"A medical mammogram revealing a well-defined, non-irregular mass suggestive of a benign breast tumor.","A medical breast mammogram showing clear breast tissue with no visible abnormalities, indicating a normal scan."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000146.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000146.png,"A mammogram displaying a poorly defined, lobulated mass indicative of a malignant breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000057.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000057.png,"A breast imaging scan showing a spiculated, invasive mass indicative of a malignant breast tumor.","A mammogram revealing normal breast tissue with no visible masses, calcifications, or distortions."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000111.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000111.png,"A breast imaging scan showing a well-circumscribed, smooth mass indicative of a benign breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000012.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000012.png,"A medical breast mammogram detecting a non-aggressive, well-defined mass characteristic of a benign tumor.",A medical breast mammogram showing healthy breast parenchyma with no suspicious findings.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000138.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000138.png,"A breast imaging study showing a poorly marginated, irregular mass indicative of a malignant tumor.",A medical mammogram displaying well-organized breast tissue with no evidence of abnormalities.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000089.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000089.png,"A mammogram displaying a non-spiculated, round mass suggestive of a benign breast tumor.",A medical breast mammogram showing healthy breast parenchyma with no suspicious findings.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000040.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000040.png,"A breast mammogram identifying a well-encapsulated, smooth mass consistent with a benign tumor.",A medical mammogram displaying well-organized breast tissue with no evidence of abnormalities.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000048.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000048.png,"A medical mammogram detecting a poorly defined, lobulated mass characteristic of a malignant breast tumor.",A medical breast mammogram showing healthy breast parenchyma with no suspicious findings.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000302.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000302.png,"A medical mammogram revealing a spiculated, invasive mass suggestive of a malignant breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000020.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000020.png,"A breast imaging study showing a well-margined, round mass suggestive of a benign breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000053.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000053.png,"A breast imaging scan showing a spiculated, invasive mass indicative of a malignant breast tumor.",A breast mammogram displaying normal breast structures with no signs of disease or masses.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000045.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000045.png,"A medical breast mammogram displaying a heterogeneous, irregular mass consistent with a malignant tumor.",A medical breast mammogram showing healthy breast parenchyma with no suspicious findings.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000001.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000001.png,"A breast imaging study revealing a well-defined, encapsulated mass likely representing a benign breast tumor.",A medical mammogram displaying well-organized breast tissue with no evidence of abnormalities.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000019.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000019.png,"A breast scan identifying a well-defined, oval mass suggestive of a benign breast tumor.","A mammogram showing no abnormalities in the breast tissue, suggestive of a normal, healthy breast."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000075.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000075.png,"A medical breast mammogram displaying a lobulated, non-aggressive mass consistent with a benign tumor.","A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000047.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000047.png,"A mammogram revealing an ill-defined, irregular mass likely representing a malignant breast tumor.","A breast mammogram showing unremarkable findings consistent with normal, healthy breast tissue."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000061.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000061.png,"A mammogram displaying a non-spiculated, round mass suggestive of a benign breast tumor.","A breast mammogram showing unremarkable findings consistent with normal, healthy breast tissue."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000095.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000095.png,"A breast imaging study showing a well-margined, round mass suggestive of a benign breast tumor.",A breast mammogram displaying normal breast structures with no signs of disease or masses.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000133.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000133.png,"A medical breast mammogram displaying a heterogeneous, irregular mass consistent with a malignant tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000118.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000118.png,"A breast imaging scan showing a well-circumscribed, smooth mass indicative of a benign breast tumor.",A medical breast mammogram showing healthy breast parenchyma with no suspicious findings.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000003.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000003.png,"A breast scan identifying a well-defined, oval mass suggestive of a benign breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000021.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000021.png,"A medical breast mammogram showing a well-defined, round mass suggestive of a benign breast tumor.",A medical mammogram displaying well-organized breast tissue with no evidence of abnormalities.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000099.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000099.png,"A mammogram showing a sharply marginated, round mass suggestive of a benign breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000018.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000018.png,"A medical breast mammogram showing an irregular, spiculated mass suggestive of a malignant breast tumor.","A medical breast mammogram showing clear breast tissue with no visible abnormalities, indicating a normal scan."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000090.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000090.png,"A breast scan showing a smooth, encapsulated mass likely representing a benign breast tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000307.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000307.png,"A mammogram showing a dense, spiculated mass suggestive of a malignant breast tumor.","A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000306.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000306.png,"A breast imaging study revealing an irregularly shaped, invasive mass likely representing a malignant breast tumor.","A medical breast mammogram showing clear breast tissue with no visible abnormalities, indicating a normal scan."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000145.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000145.png,"A medical breast mammogram detecting a spiculated, irregular mass characteristic of a malignant tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000025.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000025.png,"A breast imaging study showing a poorly marginated, irregular mass indicative of a malignant tumor.","A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000004.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000004.png,"A medical mammogram revealing a well-defined, non-irregular mass suggestive of a benign breast tumor.",A medical breast mammogram showing healthy breast parenchyma with no suspicious findings.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000125.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000125.png,"A breast scan identifying a well-defined, oval mass suggestive of a benign breast tumor.","A medical breast mammogram showing clear breast tissue with no visible abnormalities, indicating a normal scan."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000077.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000077.png,"A mammogram revealing a low-density, well-delineated mass likely representing a benign breast tumor.","A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000051.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000051.png,"A breast imaging study revealing a well-defined, encapsulated mass likely representing a benign breast tumor.",A breast mammogram displaying normal breast structures with no signs of disease or masses.
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000098.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000098.png,"A breast scan showing a well-contained, round mass likely indicating a benign breast tumor.","A breast imaging study showing clear, homogeneous breast tissue with no signs of pathology."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000015.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000015.png,"A mammogram displaying a round, homogeneous mass indicative of a benign breast tumor.","A breast mammogram showing unremarkable findings consistent with normal, healthy breast tissue."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_malignant_000054.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_malignant_000054.png,"A mammogram displaying an irregular, invasive mass suggestive of a malignant breast tumor.","A medical breast mammogram showing clear breast tissue with no visible abnormalities, indicating a normal scan."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000076.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000076.png,"A mammogram showing a sharply marginated, round mass suggestive of a benign breast tumor.","A medical breast imaging study revealing clear, unremarkable breast tissue consistent with a healthy scan."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000066.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000066.png,"A medical breast mammogram detecting a non-aggressive, well-defined mass characteristic of a benign tumor.","A breast imaging scan displaying normal, well-distributed breast tissue with no evidence of masses or tumors."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000086.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000086.png,"A mammogram displaying a round, homogeneous mass indicative of a benign breast tumor.","A mammogram showing no abnormalities in the breast tissue, suggestive of a normal, healthy breast."
/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/UDIATnBUSI/train_images/udiat_benign_000122.png,/home/woojye2020/decs_jupyter_lab/MedCLIP-SAMv2/generated_neg_output/udiat_clip_image2prompt_closedform/udiat_benign_000122.png,"A breast imaging study revealing a well-defined, encapsulated mass likely representing a benign breast tumor.",A medical mammogram displaying well-organized breast tissue with no evidence of abnormalities.
