Caption,filename
Sagittal thoracic and sternum coronal views illustrating sternal fracture,data/medpix_dataset/images/synpic100377.jpg
Sagittal thoracic and sternum coronal views illustrating sternal fracture,data/medpix_dataset/images/synpic100378.jpg
Sagittal thoracic and axial views depicting plate-like atelectasis,data/medpix_dataset/images/synpic100379.jpg
No depressed sternal fracture is present.  Fracture from previous study is healed,data/medpix_dataset/images/synpic100380.jpg
T2 weighted sagittal and axial view at C3-C4 level,data/medpix_dataset/images/synpic100381.jpg
T2 weighted sagittal and axial view at C3-C4 level,data/medpix_dataset/images/synpic100381.jpg
T2 weighted sagittal and axial view at C4-C5 level,data/medpix_dataset/images/synpic100381.jpg
T2 weighted sagittal and axial view at C4-C5 level,data/medpix_dataset/images/synpic100381.jpg
T2 weighted sagittal and axial view at C5-C6 level,data/medpix_dataset/images/synpic100382.jpg
T2 weighted sagittal and axial view at C6-C7 level,data/medpix_dataset/images/synpic100383.jpg
T2 weighted sagittal and axial view at L3-L4 illustrating mild bulge,data/medpix_dataset/images/synpic100384.jpg
T2 weighted sagittal and axial view at L4-L5 illustrating broad-based     herniation with neural foramina narrowing (R>L),data/medpix_dataset/images/synpic100385.jpg
T2 weighted sagittal and axial view at L4-L5 illustrating broad-based     herniation with neural foramina narrowing (R>L),data/medpix_dataset/images/synpic100385.jpg
T2 weighted sagittal and axial view at L5-S1 illustrating broad-based herniation with neural foramina narrowing (6mm herniation),data/medpix_dataset/images/synpic100385.jpg
T2 weighted sagittal and axial view at L5-S1 illustrating broad-based herniation with neural foramina narrowing (6mm herniation),data/medpix_dataset/images/synpic100385.jpg
Antero-posterior view of left knee,data/medpix_dataset/images/synpic100386.jpg
Lateral view of left knee,data/medpix_dataset/images/synpic100387.jpg
Oblique view of left knee,data/medpix_dataset/images/synpic100388.jpg
T2 weighted sagittal and coronal views at origin of ACL,data/medpix_dataset/images/synpic100389.jpg
T2 weighted coronal and sagittal views at origin of PCL,data/medpix_dataset/images/synpic100390.jpg
Bone window sagittal and axial at L1 vertebral body illustrating compression fracture,data/medpix_dataset/images/synpic100391.jpg
Bone window sagittal and axial at L1 vertebral body illustrating compression fracture,data/medpix_dataset/images/synpic100391.jpg
Bone window sagittal and axial at L2 vertebral body illustrating compression fracture,data/medpix_dataset/images/synpic100391.jpg
